Year,Team,Left Corner 3 FGM,Left Corner 3 FGA,Left Corner 3 FG%,Right Corner 3 FGM,Right Corner 3 FGA,Right Corner 3 FG%,Above the Break 3 FGM,Above the Break 3 FGA,Above the Break 3 FG%
2025,Atlanta Hawks,1.8,4.5,40.6,2.5,6,41.6,9,26.7,33.7
2025,Boston Celtics,1.8,5,37,1.9,4.7,41.4,14.1,38.5,36.6
2025,Brooklyn Nets,1.7,5.2,33.1,2.1,5.7,35.9,9.7,28.2,34.4
2025,Charlotte Hornets,1.9,5.1,36,1.7,4.4,38,9.7,28.9,33.5
2025,Chicago Bulls,2.5,5.9,42.3,1.7,4.9,34.7,11.4,31.4,36.2
2025,Cleveland Cavaliers,2.3,5.6,41,1.9,4.9,39.8,11.6,30.7,37.7
2025,Dallas Mavericks,1.9,4.8,39,1.7,4.6,37.9,9.1,25.2,36.3
2025,Denver Nuggets,1.7,3.9,45.3,1.3,3.2,41.6,9,24.3,37.1
2025,Detroit Pistons,1.5,3.9,37.6,1.8,4.9,37.8,9.5,26.1,36.3
2025,Golden State Warriors,2,5.5,35.6,2.1,5,42,11.2,31.6,35.5
2025,Houston Rockets,1.3,3.5,37.4,1.6,4.3,37.1,9.6,27.7,34.5
2025,Indiana Pacers,1.8,4.3,41.1,2.1,4.9,41.8,9.4,26,36.1
2025,Los Angeles Clippers,1.5,4,38,1.7,4.2,41.3,9.2,25.5,36.1
2025,Los Angeles Lakers,1.8,5.1,35.8,1.7,3.8,44.6,9.5,27,35.2
2025,Memphis Grizzlies,2.1,5.8,37,1.6,4.2,37.2,10.1,27.2,37.1
2025,Miami Heat,2.5,6.2,40.4,1.9,5,37.4,9.3,26.1,35.8
2025,Milwaukee Bucks,2,4.6,44,2,4.6,43,10,27.4,36.5
2025,Minnesota Timberwolves,2.3,5.6,40.6,1.8,4.8,37.9,11,29.1,37.8
2025,New Orleans Pelicans,1.7,4.3,40.2,1.6,4.8,34.5,8.7,25.4,34.3
